last name,first name,position,team,year,average salary
Dudley,Jared,Power Forward,PHX,2017,10000000
Williams,Alan,Power Forward,PHX,2017,5666667
Jackson,Josh,Small Forward,PHX,2017,5565780
Bender,Dragan,Power Forward,PHX,2017,4372560
Len,Alex,Center,PHX,2017,4187598
Daniels,Troy,Shooting Guard,PHX,2017,3333336
Chriss,Marquese,Power Forward,PHX,2017,3007620
Warren,T.J.,Small Forward,PHX,2017,2319013
Booker,Devin,Shooting Guard,PHX,2017,2223600
Bennett,Anthony,Power Forward,PHX,2017,1577230
Reed,Davon,Shooting Guard,PHX,2017,1391332
JonesJr.,Derrick,Small Forward,PHX,2017,1133678
Ulis,Tyler,Point Guard,PHX,2017,1000000
Jok,Peter,Shooting Guard,PHX,2017,815615
Millsap,Elijah,Shooting Guard,PHX,2017,773687
Lillard,Damian,Point Guard,POR,2017,27977689
McCollum,C.J.,Shooting Guard,POR,2017,26658362
Turner,Evan,Small Forward,POR,2017,17500000
Harkless,Maurice,Power Forward,POR,2017,10500000
Leonard,Meyers,Center,POR,2017,10250000
Aminu,Al-Farouq,Small Forward,POR,2017,7500000
Davis,Ed,Power Forward,POR,2017,6666667
Collins,Zach,Power Forward,POR,2017,3343080
Vonleh,Noah,Power Forward,POR,2017,2854628
Nurkic,Jusuf,Center,POR,2017,2118326
Morrow,Anthony,Shooting Guard,POR,2017,2116955
Swanigan,Caleb,Power Forward,POR,2017,1602960
Goodwin,Archie,Shooting Guard,POR,2017,1577230
Napier,Shabazz,Point Guard,POR,2017,1561140
Layman,Jake,Small Forward,POR,2017,851837
Connaughton,Pat,Shooting Guard,POR,2017,838158
Briscoe,Isaiah,Guard,POR,2017,815615
Hill,George,Point Guard,SAC,2017,19000000
Randolph,Zach,Power Forward,SAC,2017,12000000
Bogdanovic,Bogdan,Shooting Guard,SAC,2017,9000000
Koufos,Kosta,Center,SAC,2017,8219750
Carter,Vince,Shooting Guard,SAC,2017,8000000
Temple,Garrett,Shooting Guard,SAC,2017,8000000
Fox,De'Aaron,Point Guard,SAC,2017,5040060
Hield,Buddy,Shooting Guard,SAC,2017,3596340
Cauley-Stein,Willie,Power Forward,SAC,2017,3551200
